TicketID,ProductID,ProblemDescription
INC001,P1,Core router Cisco ASR 9922 experiencing complete failure with no response to any management protocols. All connected distribution networks unreachable. Multiple line cards reporting hardware errors and supervisor module unresponsive.
INC002,P2,Multiple access points and MDF equipment non-responsive following severe thunderstorm. UPS systems showing fault codes and bypassed to utility power. Network connectivity to three floors completely lost and intermittent issues on remaining floors.
INC003,P3,"Application load balancers failing to properly distribute traffic, resulting in service timeouts for approximately 65% of user requests. Monitoring shows application servers are operational but not receiving balanced traffic distribution."
INC004,P4,Complete WAN connectivity loss to three remote locations. Primary and backup circuits both report LOS (Loss of Signal). Branch offices unable to access any corporate resources and operating in isolation mode.
INC005,P5,Multiple external-facing services experiencing degraded performance and intermittent availability due to volumetric DDoS attack targeting web infrastructure. Security monitoring detected attack traffic exceeding 120Gbps from distributed sources.
INC006,P6,DNS resolution failures for internal and external domains resulting in application connectivity issues across all business units. Users report inconsistent ability to access resources by hostname while IP-based access remains functional.
INC007,P7,Complete data center outage following regional flooding event. Primary and backup power systems compromised. All hosted services offline and water detected in raised floor areas.
INC008,P8,BGP sessions to multiple upstream providers flapping causing internet connectivity instability and routing inconsistencies. External services experiencing intermittent accessibility and increased latency.
INC009,P9,Access layer switches showing continuous reboots after firmware upgrade. PoE devices receiving inconsistent power. Multiple VLANs affected and users reporting connectivity issues throughout campus network.
INC010,P10,Physical damage to cable plant in metropolitan office location affecting 12 floors of connectivity. Approximately 400 users impacted with complete loss of network services.
INC011,P11,Authentication failures across all network services. Users unable to access resources requiring domain credentials. Single sign-on systems showing consistent error codes related to backend authentication services.
INC012,P12,Data center cooling failure causing automated thermal shutdown of network core equipment. Temperature sensors reporting critical values exceeding 95Â°F in equipment rows.
INC013,P13,Complete loss of connectivity to cloud services across multiple providers. All hybrid cloud applications and services unreachable. Users unable to access any externally hosted resources.
INC014,P14,Monitoring systems and backup services unavailable following scheduled maintenance window. Backup jobs failing and alerting non-functional. Critical systems operating without proper monitoring or successful backups.
INC015,P15,Widespread configuration errors following automated deployment causing inconsistent policy application across firewalls. Security rules inconsistently applied causing both false positives and false negatives in traffic filtering.
INC016,P16,"User authentication database corruption causing inability to validate credentials across all application platforms. Users reporting consistent ""Invalid credentials"" errors despite using correct username/password combinations."
INC017,P17,Distribution center experiencing intermittent power-related equipment failures due to voltage fluctuations affecting network infrastructure. UPS systems showing frequent transfers to battery operation with audible alarms.
INC018,P18,Malware infection detected across management network with lateral movement observed between control systems. Unusual traffic patterns and suspicious authentication requests identified by security monitoring systems.
INC019,P19,Complete failure of VPN tunnels connecting all remote offices to headquarters. Remote users unable to access internal resources. Attempts to establish new VPN connections result in authentication handshake failures.
INC020,P20,Web application servers exhibiting gradually degrading performance over 48 hours until complete unresponsiveness. Application response times exceeding SLA thresholds and transaction failures increasing.
INC021,P21,Core network services experiencing complete packet loss. Transport layer connectivity failing between major network segments. Critical business applications unreachable for all users.
INC022,P22,Data center experiencing complete power loss with backup generator failing to engage automatically. All systems on emergency battery power with limited runtime. Critical applications at risk of imminent shutdown.
